Date,DayOfYear,Kc,ETo (mm/day),Temp Min (°C),Temp Max (°C),Humidity (%),Rainfall (mm),Wind Speed (m/s),Solar Radiation (MJ/m²),ETc (mm/day)
2005-01-01,1,0.38188524158420917,4.410750096617965,9.789106174520413,27.353135988893495,57.43405433179576,5.111445775377374,3.0874413147019575,18.52649587970126,1.819442104623231
2005-01-02,2,0.37262732359394307,4.222017735706874,10.665782928013211,28.499545378939196,59.80981309568712,4.871261550569916,3.1130620137401546,16.859868697023625,1.459450871920066
2005-01-03,3,0.39178599149948223,4.85068309978469,9.826846153929836,27.04589399255759,58.19754430907378,4.236208514592678,3.166388005379833,17.351437547095113,1.6157418397393088
2005-01-04,4,0.4127293697814421,4.203843020285604,11.058563134675657,27.97974134032893,57.4065025211411,5.97684961305365,3.2359048783676854,17.17694957988999,1.6416442765232688
2005-01-05,5,0.38101817954584016,4.246024059153535,11.005992642780244,28.735889268281856,55.874160454540515,5.319755976048995,3.4996581274538006,16.266930402891848,1.6495827451865435
2005-01-06,6,0.38444588764332094,4.337005223595521,10.130310742386333,28.982545291865925,57.00078123968091,5.467431144720118,3.4949770303617935,19.009898275486314,1.8758494019648064
2005-01-07,7,0.42413415258283593,4.505984688335701,10.197661317477875,28.711442427638367,60.62063946356984,5.802360803564984,3.465541336412456,19.572393392515277,1.9183918583419772
2005-01-08,8,0.4113127362985287,4.412380888827844,10.030681539828315,28.201229076129128,55.310536267689805,4.442996723082747,3.752048583591417,19.051131587824646,1.8667624987342923
2005-01-09,9,0.3899805637069748,4.628495105434247,10.303125935012726,29.29141820004866,62.19981335112576,4.886693658275716,2.8580493052844984,19.04696410692547,1.8875981070454781
2005-01-10,10,0.4136181170008324,4.383359259312933,10.09023192502178,28.249131921050143,59.181386021372454,5.826460146868329,3.326521866436805,18.954077538705526,1.759877057006705
2005-01-11,11,0.3968852754052172,4.343051585917557,10.990038620471207,30.182649759770943,58.26843224736874,5.103771823888419,3.4489099455790093,19.057529441794347,1.940429303412017
2005-01-12,12,0.4002145921951363,4.300298302598225,10.146585411783331,28.938008763773304,57.99230812451157,5.451443933984377,3.351458512569627,20.39879726770797,1.694452953913903
2005-01-13,13,0.4177318353249714,4.255933148835947,11.241622660281807,27.977424011088907,62.80663811709916,5.631790030193918,3.3337669909411076,20.415207897644933,2.362872857799251
2005-01-14,14,0.37797723560085167,4.579028698373745,11.335920970854557,28.359971486597626,61.513326525703185,5.122422916641107,3.2110275065739,18.956897614087755,2.1995431331195316
2005-01-15,15,0.3850805896657943,4.64525041306052,10.292723126757,29.40890282021051,65.90345195867924,5.65707760770604,3.5224094978114,20.336560846881028,2.1609659859557646
2005-01-16,16,0.4116541682148192,4.61689001737841,11.952553835699348,29.60465770827456,59.24268717972938,6.368393220884548,3.7939475472522446,20.549129433292922,2.0960003658685187
2005-01-17,17,0.40594815146225094,4.968804779606764,11.524473772222114,31.0939805740073,61.35107103643354,6.358618676581518,3.802887651553885,20.24230312033544,2.124235222404337
