Kc,ETo (mm/day),Temp Min (°C),Temp Max (°C),Humidity (%),Rainfall (mm),Wind Speed (m/s),Solar Radiation (MJ/m²),ETc (mm/day),DAS,Growth_Phase,Temp_Range,DayOfYear_sin,DayOfYear_cos,Is_Raining
0.3818852415842091,4.410750096617965,9.789106174520413,27.35313598889349,57.43405433179576,5.111445775377374,3.087441314701957,18.52649587970126,1.819442104623231,0,Seeding,17.56402981437308,0.017213356155834685,0.9998518392091162,1
0.372627323593943,4.222017735706874,10.665782928013211,28.4995453789392,59.80981309568712,4.871261550569916,3.1130620137401546,16.859868697023625,1.459450871920066,1,Seeding,17.833762450925988,0.03442161162274574,0.9994074007397048,1
0.3917859914994822,4.85068309978469,9.826846153929836,27.04589399255759,58.19754430907378,4.236208514592678,3.166388005379833,17.351437547095113,1.6157418397393088,2,Seeding,17.219047838627755,0.051619667223253764,0.998666816288476,1
0.4127293697814421,4.203843020285604,11.058563134675657,27.97974134032893,57.4065025211411,5.97684961305365,3.2359048783676854,17.17694957988999,1.6416442765232688,3,Seeding,16.92117820565327,0.06880242680231986,0.9976303053065857,1
0.3810181795458401,4.246024059153535,11.005992642780244,28.735889268281856,55.87416045454052,5.319755976048995,3.499658127453801,16.266930402891848,1.6495827451865437,4,Seeding,17.72989662550161,0.08596479873744647,0.9962981749346078,1
0.3844458876433209,4.337005223595521,10.130310742386332,28.982545291865925,57.00078123968091,5.467431144720118,3.494977030361793,19.009898275486314,1.8758494019648064,5,Seeding,18.852234549479594,0.10310169744743485,0.9946708199115211,1
0.4241341525828359,4.505984688335701,10.197661317477875,28.711442427638367,60.62063946356984,5.802360803564984,3.465541336412456,19.57239339251528,1.9183918583419768,6,Seeding,18.513781110160494,0.1202080448993527,0.9927487224577402,1
0.4113127362985287,4.412380888827844,10.030681539828317,28.201229076129128,55.310536267689805,4.442996723082747,3.752048583591417,19.05113158782465,1.8667624987342923,7,Seeding,18.17054753630081,0.13727877211326478,0.9905324521322229,1
0.3899805637069748,4.628495105434247,10.303125935012726,29.29141820004866,62.19981335112576,4.886693658275716,2.8580493052844984,19.04696410692547,1.887598107045478,8,Seeding,18.988292265035934,0.15430882066428117,0.9880226656636976,1
0.4136181170008324,4.383359259312933,10.09023192502178,28.249131921050143,59.18138602137245,5.826460146868329,3.326521866436805,18.954077538705526,1.759877057006705,9,Seeding,18.158899996028364,0.1712931441814776,0.9852201067560606,1
